ID,Nombre,HSV_Colores_Dominantes,Tonalidad_Recomendada
1950,woman's_1.png,"(41.7620303432576, 47.348709016785605, 66.12774208573174) | (40.45785639958392, 24.313160571466934, 80.5854267436417) | (41.29817659879854, 30.8542279472067, 73.79246348745261) | (42.473445069659675, 38.62969750744893, 68.10994115008049) | (43.33715714443004, 56.41508388059362, 66.90738556133479)",mestizo
1951,woman's_10.png,"(330.93370892093736, 27.2965146039857, 51.76369110036204) | (271.5590518756469, 29.169383284110594, 30.189168969821257) | (9.381709990979408, 25.663942054850903, 82.25305751823151) | (340.27694160144574, 19.843186076634193, 87.02708618331077) | (339.95349228729555, 18.047542907492993, 66.12520640661003)",claro
1952,woman's_11.png,"(174.77064985261111, 44.466389142372535, 57.42513390025873) | (144.53402581137723, 27.28756270175758, 79.51235141793104) | (189.0140679953102, 69.29494626189089, 31.842568161829305) | (174.57780956909494, 58.92415391178236, 74.92673777772922) | (190.64368962447693, 45.78842985811407, 43.714106593415565)",mestizo
1953,woman's_12.png,"(231.3710773448194, 61.81163876505047, 55.480034515253706) | (353.4598912552297, 42.32962573998574, 85.5798258977718) | (227.92845450257428, 77.33523833202707, 36.437515512533516) | (232.2328154709073, 69.30166375984187, 94.07378048138473) | (275.41629824928077, 26.009636760743742, 64.50189245803777)",claro
1954,woman's_13.png,"(31.076639685435314, 31.36621566516331, 52.32616753150481) | (30.982822969640043, 19.46255697482276, 69.12619933784072) | (31.352901825937465, 40.967052481113484, 49.95664172271172) | (30.833253312848118, 15.647649903742412, 78.64185222111446) | (31.23593242528753, 24.266102968579016, 59.933358964500805)",mestizo
1955,woman's_14.png,"(356.33273271136363, 21.084587842044535, 85.63584385310389) | (269.09951848341785, 29.767970282984656, 30.167110821545656) | (330.31179165496775, 27.176847621907076, 53.367897433350734) | (345.42315264656276, 18.40732806382505, 68.28591606133973) | (326.6420900566943, 27.64321059977881, 38.732621979024145)",claro
1956,woman's_15.png,"(30.250277171394714, 98.98581897281062, 40.588465577917766) | (30.113976937217913, 34.73907473419796, 63.96538918597745) | (30.41417200817074, 49.53550649418628, 49.70398551902796) | (30.508552515796445, 75.71037441061812, 38.36788205610252) | (30.206849436382477, 24.291548988453933, 78.96355076684141)",mestizo
1957,woman's_16.png,"(26.399999999999995, 6.39333181819287e-13, 21.7066596924061) | (31.127763207193766, 5.314386409719522, 59.802532348971994) | (30.846262341337415, 0.7218140030897828, 72.03274390635164) | (152.3076923076923, 2.2684127945143157e-13, 31.812770927385873) | (96.0, 6.328463375873854e-14, 43.858317520556625)",mestizo
1958,woman's_17.png,"(0.0, 0.0, 2.920092768290128) | (0.0, 0.0, 75.35155476331946) | (0.0, 0.0, 40.45139895038476) | (0.0, 0.0, 13.052962325145788) | (0.0, 0.0, 58.00117061750072)",mestizo
1959,woman's_18.png,"(150.00000000000043, 1.2813895540742601, 60.40715993544282) | (150.000000000001, 0.9013134854508272, 75.76149865150522) | (150.00000000000148, 0.9884184666431565, 69.32528228437451) | (150.00000000000045, 1.2300664885137693, 58.42087439466287) | (149.99999999999673, 1.1267077046083407, 63.18992627725938)",claro
